Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1996-11-01,21-104,MIL,@,PHI,W (+8),1,28:00,3,10,.300,2,3,.667,5,7,.714,0,2,2,0,3,0,1,4,13,7.4
2,2,1996-11-02,21-105,MIL,,BOS,W (+22),1,21:00,7,10,.700,2,4,.500,2,3,.667,1,2,3,2,3,0,1,1,18,17.7
3,3,1996-11-06,21-109,MIL,,VAN,W (+16),1,26:00,7,12,.583,1,5,.200,5,6,.833,0,2,2,1,1,0,3,3,20,12.1
4,4,1996-11-08,21-111,MIL,@,MIA,L (-12),1,29:00,3,8,.375,0,1,.000,3,3,1.000,1,1,2,2,0,0,4,2,9,2.2
5,5,1996-11-09,21-112,MIL,@,CHH,W (+2),1,29:00,4,10,.400,1,3,.333,0,0,,0,0,0,0,1,0,0,3,9,3.4
6,6,1996-11-12,21-115,MIL,,PHO,W (+10),1,42:00,9,19,.474,1,5,.200,4,6,.667,1,7,8,3,2,0,1,1,23,18.0
7,7,1996-11-14,21-117,MIL,@,GSW,L (-9),1,27:00,1,11,.091,0,3,.000,2,2,1.000,3,1,4,2,0,0,2,4,4,-3.1
8,8,1996-11-15,21-118,MIL,@,SAC,L (-4),1,26:00,3,5,.600,0,0,,3,4,.750,0,3,3,2,0,0,0,0,9,8.6
9,9,1996-11-17,21-120,MIL,@,LAC,L (-8),1,33:00,9,19,.474,3,6,.500,2,3,.667,4,3,7,2,1,1,4,2,23,14.9
10,10,1996-11-19,21-122,MIL,,DAL,W (+3),1,16:00,2,8,.250,1,4,.250,3,4,.750,1,0,1,3,0,0,2,3,8,2.4
11,11,1996-11-21,21-124,MIL,,ATL,L (-8),1,38:00,6,13,.462,1,5,.200,0,0,,2,5,7,3,0,0,2,2,13,8.5
12,12,1996-11-23,21-126,MIL,,WSB,L (-5),0,16:00,2,7,.286,0,0,,0,0,,1,3,4,1,0,0,1,0,4,1.2
13,13,1996-11-25,21-128,MIL,@,ORL,W (+12),1,24:00,5,11,.455,1,1,1.000,1,2,.500,3,3,6,3,0,0,1,2,12,9.2
14,14,1996-11-27,21-130,MIL,,CLE,W (+17),1,19:00,4,7,.571,1,3,.333,2,3,.667,1,1,2,0,1,0,0,4,11,7.7
15,15,1996-11-30,21-133,MIL,,CHH,L (-7),1,28:00,5,7,.714,2,2,1.000,3,3,1.000,0,2,2,3,0,0,2,1,15,12.4
16,16,1996-12-03,21-136,MIL,,CHI,L (-3),1,29:00,3,9,.333,0,2,.000,2,2,1.000,3,2,5,3,1,0,1,5,8,5.7
17,17,1996-12-07,21-140,MIL,@,WSB,W (+8),1,29:00,4,11,.364,0,3,.000,4,4,1.000,3,3,6,3,0,0,1,3,12,8.8
18,18,1996-12-08,21-141,MIL,,BOS,W (+13),1,38:00,6,13,.462,1,3,.333,4,6,.667,2,5,7,5,4,0,5,5,17,12.9
19,19,1996-12-10,21-143,MIL,,DET,L (-8),1,35:00,6,11,.545,2,4,.500,2,2,1.000,1,5,6,2,1,0,2,5,16,11.3
20,20,1996-12-12,21-145,MIL,,SEA,W (+3),1,24:00,4,9,.444,0,3,.000,9,12,.750,0,1,1,2,2,0,0,3,17,13.6
21,21,1996-12-14,21-147,MIL,,NJN,W (+10),1,22:00,4,8,.500,1,2,.500,2,2,1.000,0,2,2,4,0,0,1,1,11,9.0
22,22,1996-12-16,21-149,MIL,@,BOS,W (+16),1,31:00,6,12,.500,4,5,.800,0,0,,1,4,5,1,0,0,5,2,16,6.8
23,23,1996-12-18,21-151,MIL,,LAL,L (-6),1,32:00,3,13,.231,1,3,.333,0,0,,1,3,4,3,3,0,5,2,7,0.0
24,24,1996-12-19,21-152,MIL,@,TOR,L (-3),1,26:00,4,9,.444,3,3,1.000,1,2,.500,2,2,4,3,1,0,4,4,12,6.4
25,25,1996-12-21,21-154,MIL,,ORL,W (+18),1,35:00,5,9,.556,2,5,.400,4,4,1.000,2,3,5,3,1,0,3,2,16,13.3
26,26,1996-12-23,21-156,MIL,@,HOU,W (+5),1,35:00,5,10,.500,2,3,.667,4,6,.667,3,5,8,3,2,0,3,0,16,14.9
27,27,1996-12-26,21-159,MIL,,HOU,L (-11),1,34:00,5,10,.500,3,5,.600,2,2,1.000,0,1,1,1,1,1,0,2,15,11.9
28,28,1996-12-27,21-160,MIL,@,CLE,L (-8),1,35:00,3,7,.429,1,3,.333,0,0,,0,4,4,2,0,0,1,1,7,4.5
29,29,1996-12-29,21-162,MIL,,MIA,L (-1),1,28:00,4,8,.500,2,3,.667,0,0,,2,3,5,3,2,0,1,4,10,9.8
30,30,1997-01-04,21-168,MIL,,MIN,L (-6),1,35:00,5,17,.294,0,4,.000,7,8,.875,3,6,9,3,1,0,2,2,17,10.9
31,31,1997-01-05,21-169,MIL,@,NYK,L (-5),1,33:00,3,7,.429,1,2,.500,0,0,,1,1,2,1,0,0,1,2,7,3.2
32,32,1997-01-07,21-171,MIL,@,DET,W (+10),1,42:00,7,14,.500,3,5,.600,2,2,1.000,0,4,4,4,0,0,1,2,19,14.2
33,33,1997-01-08,21-172,MIL,,UTA,W (+7),1,30:00,3,6,.500,1,2,.500,1,4,.250,0,4,4,2,1,0,0,1,8,7.0
34,34,1997-01-10,21-174,MIL,,CHI,L (-15),1,39:00,8,15,.533,3,5,.600,3,3,1.000,1,7,8,5,0,0,2,3,22,17.8
35,35,1997-01-12,21-176,MIL,,GSW,W (+18),1,37:00,9,20,.450,2,6,.333,2,2,1.000,3,6,9,6,3,1,2,4,22,19.8
36,36,1997-01-17,21-181,MIL,@,CHI,L (-27),1,32:00,3,12,.250,1,2,.500,2,3,.667,2,0,2,1,1,0,1,2,9,2.7
37,37,1997-01-18,21-182,MIL,@,ATL,L (-23),1,31:00,1,9,.111,0,4,.000,1,2,.500,1,3,4,3,1,0,5,1,3,-4.0
38,38,1997-01-20,21-184,MIL,@,PHI,W (+10),1,28:00,3,8,.375,1,4,.250,2,4,.500,1,5,6,6,2,0,1,2,9,10.4
39,39,1997-01-21,21-185,MIL,,IND,L (-3),1,26:00,3,11,.273,1,5,.200,1,2,.500,1,0,1,0,0,0,0,4,8,0.2
40,40,1997-01-23,21-187,MIL,@,ORL,L (-4),1,34:00,4,10,.400,1,3,.333,4,4,1.000,1,2,3,3,0,0,0,1,13,10.6
41,41,1997-01-25,21-189,MIL,@,IND,W (+2),1,30:00,4,10,.400,2,4,.500,0,0,,2,2,4,5,1,0,2,4,10,7.5
42,42,1997-01-26,21-190,MIL,,SAS,W (+18),1,39:00,6,9,.667,3,5,.600,0,0,,0,0,0,3,3,0,1,4,15,13.6
43,43,1997-01-28,21-192,MIL,,DET,L (-9),1,27:00,2,6,.333,0,1,.000,1,1,1.000,1,3,4,3,1,0,2,1,5,3.9
